Book Id,Title,Author,Author l-f,Additional Authors,My Rating,Average Rating,Number of Pages,Pages category,Year Published,Original Publication Year,Date Read,Month,Year,Date Added,Exclusive Shelf,Genre,Goal Met?,,
28187,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,"Riordan, Rick",,4,4.27,377,351-400,2006,2005,6/17/2020,June,2020,6/13/2021,read,Fantasy,0,,100-150
1618,The Curious Incident of the Dog in the Night-Time,Mark Haddon,"Haddon, Mark",,4,3.89,226,201-250,2004,2003,6/20/2020,June,2020,6/13/2021,read,Fiction,0,,151-200
12399254,A Clockwork Orange,Anthony Burgess,"Burgess, Anthony",,4,3.99,213,201-250,2011,1962,8/11/2020,August,2020,5/14/2020,read,Classics,0,,201-250
23398634,"Wired (Buchanan-Renard, #13)",Julie Garwood,"Garwood, Julie",,3,3.83,336,301-350,2017,2017,10/16/2020,October,2020,11/23/2021,read,Romance,0,,251-300
10507293,"The Selection (The Selection, #1)",Kiera Cass,"Cass, Kiera",,4,4.11,336,301-350,2012,2012,10/17/2020,October,2020,11/23/2021,read,Young Adult,0,,301-350
40520251,Daisy Jones & The Six,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,5,4.22,404,401-450,2019,2019,10/23/2020,October,2020,10/18/2020,read,Historical Fiction,0,,351-400
24185293,Ella Minnow Pea: A Novel in Letters,Mark Dunn,"Dunn, Mark",,5,3.88,208,201-250,2014,2001,11/1/2020,November,2020,10/23/2020,read,Fiction,1,,401-450
51942867,Close Up (Burning Cove #4),Amanda Quick,"Quick, Amanda",,4,4.01,293,251-300,2020,2020,11/4/2020,November,2020,11/9/2020,read,Romance,1,,
682156,"Sacred Sins (D.C. Detectives, #1)",Nora Roberts,"Roberts, Nora",,4,3.88,344,301-350,1987,1987,11/9/2020,November,2020,11/9/2020,read,Romance,1,,
53007100,"Secrets of a Summer Night (Wallflowers, #1)",Lisa Kleypas,"Kleypas, Lisa",,3,4.04,384,351-400,2009,2004,11/9/2020,November,2020,11/5/2020,read,Historical Romance,1,,
39123089,"Something About You (FBI/US Attorney, #1)",Julie James,"James, Julie",,4,3.94,338,301-350,2010,2010,11/11/2020,November,2020,11/9/2020,read,Romance,1,,
22328546,"Red Queen (Red Queen, #1)",Victoria Aveyard,"Aveyard, Victoria",,5,4.03,383,351-400,2015,2015,11/12/2020,November,2020,11/11/2020,read,Fantasy,1,,
21411819,"Not Quite a Wife (Lost Lords, #6)",Mary Jo Putney,"Putney, Mary Jo",,4,3.68,368,351-400,2014,2014,11/13/2020,November,2020,11/12/2020,read,Romance,1,,
52836904,"It Happened One Autumn (Wallflowers, #2)",Lisa Kleypas,"Kleypas, Lisa",,3,4.12,400,351-400,2019,2005,11/14/2020,November,2020,11/13/2020,read,Historical Romance,1,,
53041569,"Devil in Winter (Wallflowers, #3)",Lisa Kleypas,"Kleypas, Lisa",,3,4.24,384,351-400,2019,2006,11/16/2020,November,2020,11/14/2020,read,Historical Romance,1,,
25645546,"Glass Sword (Red Queen, #2)",Victoria Aveyard,"Aveyard, Victoria",,4,3.85,448,401-450,2016,2016,11/20/2020,November,2020,11/16/2020,read,Fantasy,1,,
30243883,"King's Cage (Red Queen, #3)",Victoria Aveyard,"Aveyard, Victoria",,5,3.96,528,501-550,2017,2017,11/23/2020,November,2020,11/20/2020,read,Fantasy,1,,
37642300,"Shatter Me (Shatter Me, #1)",Tahereh Mafi,"Mafi, Tahereh",,5,3.92,357,351-400,2017,2011,11/24/2020,November,2020,11/23/2020,read,Fantasy,1,,
51330514,"Scandal in Spring (Wallflowers, #4)",Lisa Kleypas,"Kleypas, Lisa",,3,4.03,384,351-400,2017,2006,11/25/2020,November,2020,11/24/2020,read,Historical Romance,1,,
16126252,"Unravel Me (Shatter Me, #2)",Tahereh Mafi,"Mafi, Tahereh",,5,4.18,480,451-500,2013,2013,11/29/2020,November,2020,11/26/2020,read,Fantasy,1,,
18943189,"His Mistress by Christmas (Mistress Trio, #2; Wicked Family Secrets, #1)",Victoria Alexander,"Alexander, Victoria",,2,3.7,353,351-400,2012,2011,12/2/2020,December,2020,12/1/2020,read,Historical Romance,1,,
13188676,"Ignite Me (Shatter Me, #3)",Tahereh Mafi,"Mafi, Tahereh",,4,4.38,421,401-450,2014,2014,12/2/2020,December,2020,11/29/2020,read,Fantasy,1,,
38908121,"A Study in Charlotte (Charlotte Holmes, #1)",Brittany Cavallaro,"Cavallaro, Brittany",,5,3.77,341,301-350,2016,2016,12/3/2020,December,2020,12/2/2020,read,Mystery,1,,
34992981,"Restore Me (Shatter Me, #4)",Tahereh Mafi,"Mafi, Tahereh",,5,4.15,384,351-400,2018,2018,12/4/2020,December,2020,12/3/2020,read,Fantasy,1,,
40497323,"Defy Me (Shatter Me, #5)",Tahereh Mafi,"Mafi, Tahereh",,5,4.16,315,301-350,2019,2019,12/5/2020,December,2020,12/5/2020,read,Fantasy,1,,
43514655,"Reveal Me (Shatter Me, #5.5)",Tahereh Mafi,"Mafi, Tahereh",,5,3.93,112,100-150,2019,2019,12/7/2020,December,2020,12/6/2020,read,Fantasy,1,,
30805963,"The Last of August (Charlotte Holmes, #2)",Brittany Cavallaro,"Cavallaro, Brittany",,5,3.59,326,301-350,2017,2017,12/7/2020,December,2020,12/6/2020,read,Mystery,1,,
49533429,"Imagine Me (Shatter Me, #6)",Tahereh Mafi,"Mafi, Tahereh",,5,3.79,464,451-500,2020,2020,12/7/2020,December,2020,12/6/2020,read,Fantasy,1,,
40526430,"A Question of Holmes (Charlotte Holmes, #4)",Brittany Cavallaro,"Cavallaro, Brittany",,4,3.99,304,301-350,2019,2019,12/10/2020,December,2020,12/9/2020,read,Mystery,1,,
13623150,"Destroy Me (Shatter Me, #1.5)",Tahereh Mafi,"Mafi, Tahereh",,4,4.17,111,100-150,2012,2012,12/15/2020,December,2020,11/24/2020,read,Fantasy,1,,
6516450,What the Dog Saw and Other Adventures,Malcolm Gladwell,"Gladwell, Malcolm",,5,3.84,444,401-450,2009,2009,12/20/2020,December,2020,11/23/2021,read,Nonfiction,1,,
35694532,War Storm (Red Queen #4),Victoria Aveyard,"Aveyard, Victoria",,0,3.87,672,650-700,2018,2018,12/20/2020,December,2020,12/10/2020,to-read,Fantasy,1,,
36374390,Little Moments of Love,Catana Chetwynd,"Chetwynd, Catana",,5,4.35,148,100-150,2018,2018,12/30/2020,December,2020,12/30/2020,read,Graphic novel,1,,
35444098,The Case for Jamie (Charlotte Holmes #3),Brittany Cavallaro,"Cavallaro, Brittany",,3,4,336,301-350,2018,2018,12/30/2020,December,2020,12/7/2020,read,Mystery,1,,
37277042,Tailspin,Sandra Brown,"Brown, Sandra",,4,3.81,432,401-450,2018,2018,12/30/2020,December,2020,12/27/2020,read,Romance,1,,
36337082,Legendary (Caraval #2),Stephanie Garber,"Garber, Stephanie",,5,4.23,416,401-450,2018,2018,3/1/2021,March,2021,2/16/2021,read,Fantasy,1,,
40651462,I Owe You One,Sophie Kinsella,"Kinsella, Sophie",,5,3.54,432,401-450,2019,2019,3/1/2021,March,2021,1/18/2021,read,Romance,1,,
41551737,"Finale (Caraval, #3)",Stephanie Garber,"Garber, Stephanie",,5,4.19,473,451-500,2019,2019,3/1/2021,March,2021,2/27/2021,read,Fantasy,1,,
17793177,"The Heist (Fox and O'Hare, #1)",Janet Evanovich,"Evanovich, Janet",Lee Goldberg,4,3.82,320,301-350,2013,2013,3/10/2021,March,2021,3/2/2021,read,Mystery,1,,
43177147,A Dangerous Act of Kindness,L.P. Fergusson,"Fergusson, L.P.",,5,3.87,429,401-450,2019,2019,3/10/2021,March,2021,10/16/2021,read,Historical Fiction,1,,
18760810,"The Chase (Fox and O'Hare, #2)",Janet Evanovich,"Evanovich, Janet",Lee Goldberg,5,3.97,320,301-350,2014,2014,3/17/2021,March,2021,3/15/2021,read,Mystery,1,,
21894752,The Job (Fox and O'Hare #3),Janet Evanovich,"Evanovich, Janet",Lee Goldberg,5,4.01,320,301-350,2014,2014,3/25/2021,March,2021,3/17/2021,read,Mystery,1,,
6570718,"The Professor & the Madman: A Tale of Murder, Insanity & the Making of the Oxford English Dictionary",Simon Winchester,"Winchester, Simon",,5,3.82,288,251-300,2009,1998,3/30/2021,March,2021,3/10/2021,read,Fantasy,1,,
42275704,"Project Duchess (Duke Dynasty, #1)",Sabrina Jeffries,"Jeffries, Sabrina",,3,3.74,352,351-400,2019,2019,6/2/2021,June,2021,6/13/2021,read,Historical Romance,1,,
43848929,Talking to Strangers: What We Should Know About the People We Donâ€™t Know,Malcolm Gladwell,"Gladwell, Malcolm",,5,4.02,388,351-400,2019,2019,6/4/2021,June,2021,6/13/2021,read,Nonfiction,1,,
37847799,Once a Scoundrel (Rogues Redeemed #3),Mary Jo Putney,"Putney, Mary Jo",,3,3.79,368,351-400,2018,2017,6/5/2021,June,2021,6/3/2021,read,Romance,1,,
114170,"Then Came You (The Gamblers of Craven's, #1)",Lisa Kleypas,"Kleypas, Lisa",,3,3.97,371,351-400,2003,1993,6/8/2021,June,2021,6/8/2021,read,Historical Romance,1,,
30969741,An Enchantment of Ravens,Margaret  Rogerson,"Rogerson, Margaret",,4,3.65,300,251-300,2017,2017,6/9/2021,June,2021,6/13/2021,read,Fantasy,1,,
23308084,"The Rose & the Dagger (The Wrath and the Dawn, #2)",Renee Ahdieh,"Ahdieh, Renee",,4,4.04,416,401-450,2016,2016,6/24/2021,June,2021,10/16/2021,read,Fantasy,1,,
40537101,Circe,Madeline Miller,"Miller, Madeline",,4,4.26,400,351-400,2020,2018,10/15/2021,October,2021,6/29/2021,read,Fantasy,1,,
45906983,"Purple Hyacinth, Season 1 (Purple Hyacinth #1)",Ephemerys,"Ephemerys, Ephemerys",Sophism,5,4.63,400,351-400,2019,,10/16/2021,October,2021,10/16/2021,read,Graphic novel,1,,
58265618,"Purple Hyacinth, Season 2 (Purple Hyacinth #2)",Ephemerys,"Ephemerys, Ephemerys",Sophism,5,4.76,400,351-400,2021,,10/16/2021,October,2021,10/16/2021,read,Graphic novel,1,,
13489919,"The Duchess War (Brothers Sinister, #1)",Courtney Milan,"Milan, Courtney",Elisabeth Luc,4,3.82,270,251-300,2012,2012,1/4/2021,January,2021,1/3/2021,read,Historical Romance,0,,
55340435,The Case of the Missing Marquess (Enola Holmes #1),Nancy Springer,"Springer, Nancy",,4,3.8,236,201-250,2020,2006,1/17/2021,January,2021,1/4/2021,read,Mystery,0,,
606926,"The Case of the Left-Handed Lady (Enola Holmes, #2)",Nancy Springer,"Springer, Nancy",,3,4.02,234,201-250,2007,2007,1/21/2021,January,2021,10/16/2021,read,Mystery,0,,
50668767,"Tools of Engagement (Hot & Hammered, #3)",Tessa Bailey,"Bailey, Tessa",,3,3.75,384,351-400,2020,2020,2/3/2021,February,2021,2/2/2021,read,Romance,0,,
27883214,"Caraval (Caraval, #1)",Stephanie Garber,"Garber, Stephanie",,5,3.97,407,401-450,2017,2017,2/16/2021,February,2021,6/13/2021,read,Fantasy,0,,
25625054,The Scam (Fox and O'Hare #4),Janet Evanovich,"Evanovich, Janet",Lee Goldberg,5,4.05,305,301-350,2015,2015,4/1/2021,April,2021,3/31/2021,read,Mystery,0,,
40858227,Humans: A Brief History of How We F*cked It All Up,Tom     Phillips,"Phillips, Tom",,5,4.02,272,251-300,2018,2018,5/19/2021,May,2021,10/16/2021,read,Nonfiction,0,,
36862428,Ella Enchanted,Gail Carson Levine,"Levine, Gail Carson",,5,3.98,246,201-250,2012,1997,5/28/2021,May,2021,5/25/2021,read,Fantasy,0,,
18798983,"The Wrath and the Dawn (The Wrath and the Dawn, #1)",Renee Ahdieh,"Ahdieh, Renee",,5,4.07,404,401-450,2015,2015,5/29/2021,May,2021,6/13/2021,read,Fantasy,0,,
48509205,Catherine House,Elisabeth    Thomas,"Thomas, Elisabeth",,4,3.12,318,301-350,2020,2020,5/31/2021,May,2021,5/29/2021,read,Fiction,0,,
16069030,"The Winner's Curse (The Winner's Trilogy, #1)",Marie Rutkoski,"Rutkoski, Marie",,5,3.94,355,351-400,2014,2014,7/29/2021,July,2021,6/13/2021,read,Fantasy,0,,
20443207,"The Winner's Crime (The Winner's Trilogy, #2)",Marie Rutkoski,"Rutkoski, Marie",,5,4.08,416,401-450,2015,2015,8/5/2021,August,2021,8/5/2021,read,Fantasy,0,,
20443235,"The Winner's Kiss (The Winner's Trilogy, #3)",Marie Rutkoski,"Rutkoski, Marie",,5,4.23,486,451-500,2016,2016,8/5/2021,August,2021,8/5/2021,read,Fantasy,0,,
331830,Keturah and Lord Death,Martine Leavitt,"Leavitt, Martine",,5,3.89,216,201-250,2006,2006,8/15/2021,August,2021,6/13/2021,read,Fantasy,0,,
16299,And Then There Were None,Agatha Christie,"Christie, Agatha",,5,4.26,264,251-300,2004,1939,9/15/2021,September,2021,6/13/2021,read,Mystery,0,,
44018869,"The Way of the Househusband, Vol. 1",Kousuke Oono,"Oono, Kousuke",Sheldon Drzka,5,4.31,160,151-200,2019,2018,11/5/2021,November,2021,11/5/2021,read,Graphic novel,0,,
55474178,Gokushufudo: The Way of House Husband 2,Kousuke Oono,"Oono, Kousuke",Anindhita Raghia,5,4.36,168,151-200,2020,2018,11/6/2021,November,2021,11/6/2021,read,Graphic novel,0,,
